檢驗日期,工單號碼,料號,顏色碼,盤號,瑕疵種類,瑕疵統計
20260504_090117, 10000504, A3252820T, S3B, 085300, C00_dot, 12
20260504_090117, 10000504, A3252820T, S3B, 085300, C01_Hole, 55
20260504_090117, 10000504, A3252820T, S3B, 085300, C03_crack, 6
20260504_090117, 10000504, A3252820T, S3B, 085300, C05_Dent, 5
20260504_090117, 10000504, A3252820T, S3B, 085300, C06_White, 0
20260504_090117, 10000504, A3252820T, S3B, 085300, C07_HoleL, 2
20260504_090117, 10000504, A3252820T, S3B, 085300, C08_R, 12
20260504_090851, 10000504, A3252820T, S3B, 085312, C00_dot, 15
20260504_090851, 10000504, A3252820T, S3B, 085312, C01_Hole, 21
20260504_090851, 10000504, A3252820T, S3B, 085312, C03_crack, 18
20260504_090851, 10000504, A3252820T, S3B, 085312, C05_Dent, 2
20260504_090851, 10000504, A3252820T, S3B, 085312, C06_White, 0
20260504_090851, 10000504, A3252820T, S3B, 085312, C07_HoleL, 3
20260504_090851, 10000504, A3252820T, S3B, 085312, C08_R, 4
20260504_091619, 10000504, A3252820T, S3B, 085323, C00_dot, 18
20260504_091619, 10000504, A3252820T, S3B, 085323, C01_Hole, 60
20260504_091619, 10000504, A3252820T, S3B, 085323, C03_crack, 48
20260504_091619, 10000504, A3252820T, S3B, 085323, C05_Dent, 5
20260504_091619, 10000504, A3252820T, S3B, 085323, C06_White, 0
20260504_091619, 10000504, A3252820T, S3B, 085323, C07_HoleL, 1
20260504_091619, 10000504, A3252820T, S3B, 085323, C08_R, 10
20260504_092347, 10000504, A3252820T, S3B, 091311, C00_dot, 16
20260504_092347, 10000504, A3252820T, S3B, 091311, C01_Hole, 49
20260504_092347, 10000504, A3252820T, S3B, 091311, C03_crack, 18
20260504_092347, 10000504, A3252820T, S3B, 091311, C05_Dent, 4
20260504_092347, 10000504, A3252820T, S3B, 091311, C06_White, 0
20260504_092347, 10000504, A3252820T, S3B, 091311, C07_HoleL, 2
20260504_092347, 10000504, A3252820T, S3B, 091311, C08_R, 10
20260504_093115, 10000504, A3252820T, S3B, 091328, C00_dot, 23
