sep=,
group,field_name,zh_name,unit_or_format,required,source,target_table_or_output,ontology_class,reason
1 Batch 時間區間,batch_id,批次編號,string,yes,DataPreprocess / DB,batch_run; batch_summary,BatchRecord,串接 sensor data、品質結果、event 與 risk_level 的批次主鍵。
1 Batch 時間區間,station,站點,Station_1 / Station_2 / Station_3,yes,DataPreprocess / DB,batch_run; batch_summary; sensor_1hz,Station,統一 DB / API / ontology 的站點命名。
1 Batch 時間區間,batch_start_time,批次開始時間,datetime,recommended,DataPreprocess / DB,batch_run,BatchRecord,用來抓取該批次期間的 sensor_1hz 資料。
1 Batch 時間區間,batch_end_time,批次結束時間,datetime,recommended,DataPreprocess / DB,batch_run,BatchRecord,與 batch_start_time 形成時間區間，支援 batch-level diagnosis。
1 Batch 時間區間,completed_at,批次完成時間,datetime,yes,DataPreprocess / DB,batch_summary,BatchRecord,Dashboard 顯示與批次查詢排序所需。
By Time 已提供欄位,timestamp,資料時間戳,datetime,yes,DataPreprocess,sensor_1hz,SensorSignal,每筆時間序列資料的時間。
By Time 已提供欄位,temperature_c,環境溫度,°C,yes,DataPreprocess,sensor_1hz,EnvironmentSignal,林聖堯已提供，用於環境異常判斷。
By Time 已提供欄位,humidity_rh,環境濕度,%RH,yes,DataPreprocess,sensor_1hz,EnvironmentSignal,林聖堯已提供，用於環境異常判斷。
By Time 已提供欄位,filter_diff_pressure_bar,濾網壓差,bar,yes,DataPreprocess,sensor_1hz,FilterSignal,林聖堯已提供，用於濾網阻塞或壓差異常判斷。
By Time 已提供欄位,servo_torque_load_pct,伺服馬達負載,%,yes,DataPreprocess,sensor_1hz,RobotArmSignal,林聖堯已提供，用於機械手臂負載異常判斷。
By Time 已提供欄位,air_pressure_bar,空氣壓力,bar,yes,DataPreprocess,sensor_1hz,AirPressureSignal,林聖堯已提供，用於空壓異常判斷。
By Batch 已提供欄位,paint_flow_ml_min,塗料流量,ml/min,yes,DataPreprocess,batch_summary,ProcessSignal,林聖堯已提供，用於流量異常與批次結果分析。
By Batch 已提供欄位,spray_width_mm,噴幅寬度,mm,yes,DataPreprocess,batch_summary,SprayWidthSignal,林聖堯已提供，用於噴幅異常判斷。
By Batch 已提供欄位,path_error_mm,軌跡追隨誤差,mm,yes,DataPreprocess,batch_summary,RobotPathSignal,林聖堯已提供，用於軌跡偏差判斷。
2 品質 / 預測結果,ok_count,OK 數量,count,optional,QC / Prediction / Dashboard service,batch_summary or API response,QualityMetric / PredictionMetric / RiskLevel,用於計算批次良率。
2 品質 / 預測結果,ng_count,NG 數量,count,recommended_for_risk_level,QC / Prediction / Dashboard service,batch_summary or API response,QualityMetric / PredictionMetric / RiskLevel,討論 risk_level 規則需要 NG 數量。
2 品質 / 預測結果,predicted_ok_rate,預測 OK 率,%,recommended_for_risk_level,Prediction service,batch_summary or API response,QualityMetric / PredictionMetric / RiskLevel,討論 risk_level 規則需要 predicted_ok_rate。
2 品質 / 預測結果,predicted_ng_count,預測 NG 數量,count,optional,Prediction service,batch_summary or API response,QualityMetric / PredictionMetric / RiskLevel,支援 manager dashboard 顯示預測風險。
2 品質 / 預測結果,quality_score,品質分數,score,optional,QC / Dashboard service,batch_summary or API response,QualityMetric / PredictionMetric / RiskLevel,用單一分數呈現批次品質狀態。
