sep=,
service_class,function_name,purpose,input,output_schema,reads,writes,status
TimeSeriesService,get_time_series,取代 random demo，正式資料由 DB / API 實作決定,station; start_time; end_time; sensor_names,time_series_response.schema.json,sensor_1hz,,contract_only
TimeSeriesService,get_latest_sensor_snapshot,Dashboard 最新即時資料,station,sensor_snapshot.schema.json,sensor_1hz,,contract_only
TimeSeriesService,get_sensor_feature_window,讀取或計算 DataPreprocess 時間窗統計特徵,station; sensor_name; start_time; end_time; aggregation_window,sensor_feature_window.schema.json,sensor_1hz or sensor_feature_window derived output,,proposed_pending_db_confirmation
BatchService,list_batches_filtered,對應討論 risk_level API 圖示,date; risk; start; end; station,batches_filtered.schema.json,batch_run; batch_summary; v_latest_batch_per_station,,draft_0604_discussion_api
BatchService,get_batch_detail,批次詳細查詢，可關聯 sensor 區間,batch_id,batch_detail.schema.json,batch_run; batch_summary; sensor_1hz,,contract_only
EventRuleService,list_unacknowledged_alert_events,未確認警示查詢,station; severity,alert_events.schema.json,v_unacknowledged_alerts; alert_event,,contract_only
EventRuleService,acknowledge_alert_event,確認 alert_event,event_id; operator_id,alert_acknowledge.schema.json,alert_event,alert_event,contract_only
EventRuleService,evaluate_event_rules,只定義接口，不產生正式 rule output,station; timestamp; sensor_payload,event_rule_evaluation.schema.json,sensor_1hz; sensor_threshold; batch_summary,alert_event,contract_pending_rule_logic
TroubleshootingService,get_troubleshooting_matrix,原因對策查詢,asset_type; issue_type,troubleshooting_matrix.schema.json,troubleshooting_knowledge,,contract_only
TroubleshootingService,get_issue_recommendations,回傳可能原因與候選處置，不代表正式 rule,issue_type; station,troubleshooting_issue.schema.json,troubleshooting_knowledge; sensor_1hz; sensor_threshold,,contract_only
DashboardService,get_manager_summary,對應 GitHub spray-manger 概念，正式 API binding pending,date; station,manager_summary.schema.json,batch_summary; alert_event; v_latest_pdm_status,,contract_mock_ui_pending
