sep=,
station,sensor_name,source_table,unit,asset,sampling_interval
Station_1,film_thickness_um,sensor_1min,um,QualityModule,1 minute
Station_1,paint_flow_ml_min,sensor_1min,ml/min,Nozzle,1 minute
Station_1,nozzle_roll,sensor_1min,degree,Nozzle,1 minute
Station_1,filter_diff_pressure_bar,sensor_1min,bar,FilterMesh,1 minute
Station_1,filter_inflow_ml_min,sensor_1min,ml/min,FilterMesh,1 minute
Station_1,filter_outflow_ml_min,sensor_1min,ml/min,FilterMesh,1 minute
Station_1,pump_current_a,sensor_1min,A,Unassigned,1 minute
Station_1,air_pressure_bar,sensor_1min,bar,AirCompressor,1 minute
Station_1,spray_width_mm,sensor_1min,mm,SprayWidth,1 minute
Station_1,servo_torque_load_pct,sensor_1min,%,RobotArm,1 minute
Station_1,path_error_mm,sensor_1min,mm,RobotArm,1 minute
Station_1,vibration_g,sensor_1min,G,RobotArm,1 minute
Station_1,tcp_x_mm,sensor_1min,mm,RobotArm,1 minute
Station_1,tcp_y_mm,sensor_1min,mm,RobotArm,1 minute
Station_1,tcp_z_mm,sensor_1min,mm,RobotArm,1 minute
Station_1,speed_mm_s,sensor_1min,mm/s,RobotArm,1 minute
Station_1,gearbox_temperature_c,sensor_3min,degC,RobotArm,3 minutes
Station_1,temperature_c,sensor_3min,degC,Environment,3 minutes
Station_1,humidity_rh,sensor_3min,%RH,Environment,3 minutes
Station_2,film_thickness_um,sensor_1min,um,QualityModule,1 minute
Station_2,paint_flow_ml_min,sensor_1min,ml/min,Nozzle,1 minute
Station_2,nozzle_roll,sensor_1min,degree,Nozzle,1 minute
Station_2,filter_diff_pressure_bar,sensor_1min,bar,FilterMesh,1 minute
Station_2,filter_inflow_ml_min,sensor_1min,ml/min,FilterMesh,1 minute
Station_2,filter_outflow_ml_min,sensor_1min,ml/min,FilterMesh,1 minute
Station_2,pump_current_a,sensor_1min,A,Unassigned,1 minute
Station_2,air_pressure_bar,sensor_1min,bar,AirCompressor,1 minute
Station_2,spray_width_mm,sensor_1min,mm,SprayWidth,1 minute
Station_2,servo_torque_load_pct,sensor_1min,%,RobotArm,1 minute
Station_2,path_error_mm,sensor_1min,mm,RobotArm,1 minute
Station_2,vibration_g,sensor_1min,G,RobotArm,1 minute
Station_2,tcp_x_mm,sensor_1min,mm,RobotArm,1 minute
Station_2,tcp_y_mm,sensor_1min,mm,RobotArm,1 minute
Station_2,tcp_z_mm,sensor_1min,mm,RobotArm,1 minute
Station_2,speed_mm_s,sensor_1min,mm/s,RobotArm,1 minute
Station_2,gearbox_temperature_c,sensor_3min,degC,RobotArm,3 minutes
Station_2,temperature_c,sensor_3min,degC,Environment,3 minutes
Station_2,humidity_rh,sensor_3min,%RH,Environment,3 minutes
Station_3,film_thickness_um,sensor_1min,um,QualityModule,1 minute
Station_3,paint_flow_ml_min,sensor_1min,ml/min,Nozzle,1 minute
Station_3,nozzle_roll,sensor_1min,degree,Nozzle,1 minute
Station_3,filter_diff_pressure_bar,sensor_1min,bar,FilterMesh,1 minute
Station_3,filter_inflow_ml_min,sensor_1min,ml/min,FilterMesh,1 minute
Station_3,filter_outflow_ml_min,sensor_1min,ml/min,FilterMesh,1 minute
Station_3,pump_current_a,sensor_1min,A,Unassigned,1 minute
Station_3,air_pressure_bar,sensor_1min,bar,AirCompressor,1 minute
Station_3,spray_width_mm,sensor_1min,mm,SprayWidth,1 minute
Station_3,servo_torque_load_pct,sensor_1min,%,RobotArm,1 minute
Station_3,path_error_mm,sensor_1min,mm,RobotArm,1 minute
Station_3,vibration_g,sensor_1min,G,RobotArm,1 minute
Station_3,tcp_x_mm,sensor_1min,mm,RobotArm,1 minute
Station_3,tcp_y_mm,sensor_1min,mm,RobotArm,1 minute
Station_3,tcp_z_mm,sensor_1min,mm,RobotArm,1 minute
Station_3,speed_mm_s,sensor_1min,mm/s,RobotArm,1 minute
Station_3,gearbox_temperature_c,sensor_3min,degC,RobotArm,3 minutes
Station_3,temperature_c,sensor_3min,degC,Environment,3 minutes
Station_3,humidity_rh,sensor_3min,%RH,Environment,3 minutes
